sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
24N02446	1	Plate1	225C2WLT4	ILLUMINA	3	24N02446	24N02446-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02446/B_24N02446_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02446/B_24N02446_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	2950346.015	2914155.875
24N02447	1	Plate1	225C2WLT4	ILLUMINA	3	24N02447	24N02447-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02447/B_24N02447_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02447/B_24N02447_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	2702748.247	2640009.674
24N02448	1	Plate1	225C2WLT4	ILLUMINA	3	24N02448	24N02448-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02448/B_24N02448_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02448/B_24N02448_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	3915934.897	3890228.715
24N02449	1	Plate2	225CWMLT4	ILLUMINA	1	24N02449	24N02449-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02449/B_24N02449_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02449/B_24N02449_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3545138.51	3498177.879
24N02450	1	Plate2	225CWMLT4	ILLUMINA	1	24N02450	24N02450-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02450/B_24N02450_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02450/B_24N02450_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3169820.612	3110981.77
24N02451	1	Plate2	225CWMLT4	ILLUMINA	1	24N02451	24N02451-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02451/B_24N02451_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02451/B_24N02451_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	2615381.34	2577759.896
24N02480	1	Plate1	225C2WLT4	ILLUMINA	3	24N02480	24N02480-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02480/B_24N02480_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02480/B_24N02480_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	5573831.763	5559372.339
24N02481	1	Plate1	225C2WLT4	ILLUMINA	3	24N02481	24N02481-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02481/B_24N02481_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02481/B_24N02481_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	3424214.425	3368251.072
24N02482	1	Plate1	225C2WLT4	ILLUMINA	3	24N02482	24N02482-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02482/B_24N02482_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02482/B_24N02482_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	4940046.643	5001824.409
24N02483	1	Plate1	225C2WLT4	ILLUMINA	3	24N02483	24N02483-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02483/B_24N02483_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02483/B_24N02483_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	3650291.539	3637112.822
