"","group","abd_trend","mean","cell","lc_cropland"
"71",2,10.038782119751,1.51231563091278,16269,NA
"72",2,10.6411800384521,1.58316206932068,16270,NA
"73",2,11.3893795013428,1.78381526470184,16271,NA
"74",2,12.0913867950439,2.02675104141235,16272,NA
"75",2,12.7688751220703,2.25318646430969,16273,NA
"76",2,5.49900341033936,NA,17409,NA
"77",2,6.98019170761108,-0.0265391897410154,17410,NA
"78",2,8.15776538848877,0.139733448624611,17411,NA
"79",2,9.2586669921875,0.349681973457336,17412,NA
"80",2,10.381760597229,0.606760561466217,17413,NA
"81",2,11.6719942092896,0.85407143831253,17414,NA
"82",2,13.0298547744751,1.03395473957062,17415,NA
"83",2,13.3369541168213,1.14471781253815,17416,NA
"84",2,13.620677947998,1.24021971225739,17417,NA
"85",2,14.8605470657349,1.33634805679321,17418,NA
"86",2,15.6101007461548,1.43314003944397,17419,NA
"87",2,14.3936653137207,1.51902723312378,17420,NA
"88",2,11.9358072280884,1.57578003406525,17421,NA
"89",2,7.0400505065918,1.61675441265106,17422,NA
"90",2,3.95593929290771,1.64329552650452,17423,NA
"91",2,2.87260246276855,1.62350559234619,17424,NA
"92",2,5.63243627548218,1.5968850851059,17425,NA
"93",2,10.8186864852905,1.62198030948639,17426,NA
"94",2,15.0665655136108,1.71356058120728,17427,NA
"95",2,19.0029468536377,1.89487433433533,17428,NA
"96",2,17.066463470459,2.10388875007629,17429,NA
"97",2,14.3803300857544,2.28587317466736,17430,NA
"98",2,10.9463911056519,2.41886496543884,17431,NA
"99",2,7.5391001701355,2.4573290348053,17432,NA
"100",2,NA,2.48366141319275,17433,NA
"101",2,NA,2.52833867073059,17434,NA
"102",2,NA,2.5217912197113,17435,NA
"103",2,NA,NA,18569,NA
"104",2,22.8904075622559,NA,18570,NA
"105",2,18.707706451416,NA,18571,NA
"106",2,15.1580038070679,1.11040365695953,18572,NA
"107",2,13.7555665969849,1.23278510570526,18573,NA
"108",2,12.4057102203369,1.31088435649872,18574,NA
"109",2,10.4818420410156,1.39597809314728,18575,NA
"110",2,8.28991794586182,1.46838974952698,18576,NA
"111",2,5.30494689941406,1.55693137645721,18577,NA
"112",2,2.25576400756836,1.65961563587189,18578,NA
"113",2,-0.863452017307281,1.73774075508118,18579,NA
"114",2,-3.69973278045654,1.7874391078949,18580,NA
"115",2,-6.84066438674927,1.82488799095154,18581,NA
"116",2,-4.67735958099365,1.83395171165466,18582,NA
"117",2,NA,1.82262921333313,18583,NA
"118",2,5.15582036972046,1.84309124946594,18584,NA
